CCSDS_Header_1_APID,CCSDS_Header_2_Seq,PKT_LEN,SHCOARSE,SHFINE,cmd_recv_count,cmd_fail_count,cmd_succ_count,cmd_succ_op,cmd_fail_op,cmd_fail_code,pwr_status,sd_read_misc,sd_read_scic,sd_read_scid,sd_read_adcs,sd_read_beacon,sd_read_log,sd_write_misc,sd_write_scic,sd_write_scid,sd_write_adcs,sd_write_beacon,sd_write_log,cmd_loss_timer,alive_flags,cip_comstat,cip_temp1,cip_temp2,cip_temp3,uhf_temp,uhf_config,sband_pa_curr,sband_pa_volt,sband_rf_pwr,sband_pa_temp,sband_top_temp,sband_bottom_temp,adcs_cmd_acpt,adcs_cmd_fail,adcs_time,adcs_info,adcs_star_temp,adcs_wheel_temp1,adcs_wheel_temp2,adcs_wheel_temp3,adcs_digi_bus_volt,adcs_sun_vec1,adcs_sun_vec2,adcs_sun_vec3,adcs_wheel_sp1,adcs_wheel_sp2,adcs_wheel_sp3,adcs_body_rt1,adcs_body_rt2,adcs_body_rt3,adcs_body_quat1,adcs_body_quat2,adcs_body_quat3,adcs_body_quat4,daxss_cmd_op,daxss_cmd_succ,daxss_cmd_fail,daxss_cdh_enables,daxss_cdh_temp,daxss_sps_rate,daxss_sps_x,daxss_sps_y,daxss_slow_count,bat_fg1,daxss_curr,daxss_volt,cdh_curr,cdh_volt,sband_curr,sband_volt,uhf_curr,uhf_volt,heater_curr,heater_volt,sp2_curr,sp2_volt,sp1_curr,sp1_volt,sp0_curr,sp0_volt,bat_vcell,gps_12v_2_curr,gps_12v_2_volt,gps_12v_1_curr,gps_12v_1_volt,bat_curr,bat_volt,adcs_curr,adcs_volt,3p3_curr,3p3_volt,cip_curr,cip_volt,obc_temp,eps_temp,int_temp,sp0_temp,bat0_temp,sp1_temp,bat1_temp,sp2_temp,bat_fg3,bat0_temp_conv,bat1_temp_conv,mode
264,1744,63744,86022,225,0,0,0,0,0,0,13,0,0,0,0,0,0,1541,0,0,0,0,2098,173179,12,0,0.0,0.0,0.0,0,0,2.6210400000000003,0.016,0.00113,50.0,24.25,24.25,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,75.89789999999999,0.12,7.992,1.32,3.2960000000000003,1.04,5.968,0.4,5.976,0.0,0.0,0.0,0.904,0.0,0.92,0.0,0.0,51200,0.2,12.232000000000001,0.2,12.248000000000001,325.48,7.992,0.16,12.232000000000001,0.04,3.3040000000000003,0.0,0.0,89.99188000000002,,,,,,,,75.89789999999999,1158735129,1257957729,2
264,2000,63744,86023,225,0,0,0,0,0,0,13,0,0,0,0,0,0,1542,0,0,0,0,2098,173178,12,0,0.0,0.0,0.0,0,0,2.6210400000000003,0.016,0.00113,50.0,24.25,24.25,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,75.89789999999999,0.12,7.992,1.32,3.2960000000000003,1.04,5.968,0.4,5.976,0.0,0.0,0.0,0.904,0.0,0.92,0.0,0.0,51200,0.2,12.232000000000001,0.2,12.24,325.44,7.992,0.2,12.232000000000001,0.04,3.3040000000000003,0.0,0.0,89.62731999999998,,,,,,,,75.89789999999999,1158735129,1270638420,2
264,2256,63744,86024,225,0,0,0,0,0,0,13,0,0,0,0,0,0,1543,0,0,0,0,2098,173177,12,0,0.0,0.0,0.0,0,0,2.6210400000000003,0.016,0.00113,50.0,24.25,24.25,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,75.89789999999999,0.12,7.992,1.32,3.2960000000000003,1.04,5.968,0.4,5.976,0.0,0.0,0.0,0.904,0.04,0.92,0.0,0.0,51168,0.2,12.224,0.2,12.24,325.44,8.0,0.16,12.256,0.04,3.3040000000000003,0.0,0.0,89.74864000000004,,,,,,,,75.89789999999999,1158686045,3501874543,2
264,2512,63744,86025,225,0,0,0,0,0,0,13,0,0,0,0,0,0,1544,0,0,0,0,2098,173176,12,0,0.0,0.0,0.0,0,0,2.6210400000000003,0.016,0.00113,50.0,24.25,24.25,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,75.89789999999999,0.12,7.992,1.32,3.2960000000000003,1.04,5.968,0.4,5.976,0.0,0.0,0.0,0.904,0.0,0.92,0.0,0.0,51184,0.2,12.272,0.2,12.272,325.44,8.0,0.16,12.256,0.04,3.3040000000000003,0.0,0.0,90.11380000000001,,,,,,,,75.89789999999999,1158686045,3501874543,2
264,2768,63744,86026,225,0,0,0,0,0,0,13,0,0,0,0,0,0,1545,0,0,0,0,2098,173175,12,0,0.0,0.0,0.0,0,0,2.6210400000000003,0.016,0.00113,50.0,24.25,24.25,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,75.89789999999999,0.12,7.992,1.32,3.2960000000000003,1.04,5.968,0.4,5.976,0.0,0.0,0.0,0.904,0.0,0.92,0.0,0.0,51184,0.2,12.272,0.2,12.272,325.48,7.992,0.16,12.24,0.08,3.3040000000000003,0.0,0.0,89.99188000000002,,,,,,,,75.89789999999999,1158710570,1262240574,2
264,3024,63744,86027,225,0,0,0,0,0,0,13,0,0,0,0,0,0,1546,0,0,0,0,2098,173174,12,0,0.0,0.0,0.0,0,0,2.6210400000000003,0.016,0.00113,50.0,24.25,24.25,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,75.89789999999999,0.12,7.992,1.32,3.2960000000000003,1.04,5.976,0.4,5.976,0.0,0.0,0.0,0.904,0.0,0.92,0.0,0.0,51184,0.2,12.264000000000001,0.2,12.280000000000001,325.48,7.992,0.2,12.248000000000001,0.04,3.3040000000000003,0.0,0.0,89.87015999999998,,,,,,,,75.89789999999999,1158722845,3501874543,2
264,3280,63744,86028,225,0,0,0,0,0,0,13,0,0,0,0,0,0,1547,0,0,0,0,2098,173173,12,0,0.0,0.0,0.0,0,0,2.6210400000000003,0.016,0.00113,50.0,24.25,24.25,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,75.89789999999999,0.12,7.992,1.32,3.2960000000000003,1.04,5.968,0.4,5.976,0.0,0.0,0.0,0.904,0.0,0.92,0.0,0.0,51184,0.2,12.264000000000001,0.2,12.280000000000001,325.48,8.0,0.16,12.272,0.04,3.3040000000000003,0.0,0.0,89.99188000000002,,,,,,,,75.89789999999999,1158710570,3501874543,2
264,3536,63744,86029,225,0,0,0,0,0,0,13,0,0,0,0,0,0,1548,0,0,0,0,2098,173172,12,0,0.0,0.0,0.0,0,0,2.6210400000000003,0.016,0.00113,50.0,24.3125,24.3125,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,75.89789999999999,0.12,7.992,1.32,3.2960000000000003,1.04,5.968,0.36,5.976,0.0,0.0,0.0,0.904,0.0,0.92,0.0,0.0,51184,0.2,12.24,0.2,12.248000000000001,325.48,7.992,0.2,12.232000000000001,0.04,3.3040000000000003,0.0,0.0,89.62731999999998,,,,,,,,75.89789999999999,1158735129,3501874543,2
264,3792,63744,86030,225,0,0,0,0,0,0,13,0,0,0,0,0,0,1549,0,0,0,0,2098,173171,12,0,0.0,0.0,0.0,0,0,2.6210400000000003,0.016,0.00113,50.0,24.3125,24.25,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,75.89789999999999,0.12,7.992,1.32,3.2960000000000003,1.04,5.968,0.4,5.976,0.0,0.0,0.0,0.904,0.0,0.92,0.0,0.0,51200,0.2,12.232000000000001,0.2,12.232000000000001,325.48,8.0,0.16,12.272,0.04,3.3040000000000003,0.0,0.0,89.87015999999998,,,,,,,,75.89789999999999,1158698303,3501874543,2
264,4048,63744,86031,225,0,0,0,0,0,0,13,0,0,0,0,0,0,1550,0,0,0,0,2098,173170,12,0,0.0,0.0,0.0,0,0,2.6210400000000003,0.016,0.00113,50.0,24.25,24.25,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,75.89789999999999,0.12,7.992,1.32,3.2960000000000003,1.04,5.968,0.4,5.976,0.0,0.0,0.0,0.904,0.0,0.92,0.0,0.0,51168,0.2,12.248000000000001,0.2,12.264000000000001,325.44,7.992,0.16,12.256,0.04,3.3040000000000003,0.0,0.0,89.74864000000004,,,,,,,,75.89789999999999,1158698303,3501874543,2
